date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:20:05	24319/24319	---M--	200	added ('OK')	image/jpeg	etag:%22242b7-647b57475004c%22	https://doccure.dreamstechnologies.com/html/template/assets/img/home/home-03.jpg	C:/My%20Web%20Sites/docRabale, Navi Mumbai/doccure.dreamstechnologies.com/html/template/assets/img/home/home-03.jpg	(from https://doccure.dreamstechnologies.com/html/template/index.html)
19:20:05	58717/58717	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Jan%202026%2010:15:29%20GMT	https://doccure.dreamstechnologies.com/html/template/index-5.html	C:/My%20Web%20Sites/docRabale, Navi Mumbai/doccure.dreamstechnologies.com/html/template/index-5.html	(from https://doccure.dreamstechnologies.com/html/template/index.html)
19:20:05	23064/23064	---M--	200	added ('OK')	image/jpeg	etag:%222042e-647b574750434%22	https://doccure.dreamstechnologies.com/html/template/assets/img/home/home-04.jpg	C:/My%20Web%20Sites/docRabale, Navi Mumbai/doccure.dreamstechnologies.com/html/template/assets/img/home/home-04.jpg	(from https://doccure.dreamstechnologies.com/html/template/index.html)
19:20:06	54772/54772	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Jan%202026%2010:15:29%20GMT	https://doccure.dreamstechnologies.com/html/template/index-6.html	C:/My%20Web%20Sites/docRabale, Navi Mumbai/doccure.dreamstechnologies.com/html/template/index-6.html	(from https://doccure.dreamstechnologies.com/html/template/index.html)
19:20:06	27222/27222	---M--	200	added ('OK')	image/jpeg	etag:%22258ca-647b57475081c%22	https://doccure.dreamstechnologies.com/html/template/assets/img/home/home-05.jpg	C:/My%20Web%20Sites/docRabale, Navi Mumbai/doccure.dreamstechnologies.com/html/template/assets/img/home/home-05.jpg	(from https://doccure.dreamstechnologies.com/html/template/index.html)
19:20:07	57411/57411	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Jan%202026%2010:15:29%20GMT	https://doccure.dreamstechnologies.com/html/template/index-7.html	C:/My%20Web%20Sites/docRabale, Navi Mumbai/doccure.dreamstechnologies.com/html/template/index-7.html	(from https://doccure.dreamstechnologies.com/html/template/index.html)
19:20:07	28189/28189	---M--	200	added ('OK')	image/jpeg	etag:%222388c-647b574750c04%22	https://doccure.dreamstechnologies.com/html/template/assets/img/home/home-06.jpg	C:/My%20Web%20Sites/docRabale, Navi Mumbai/doccure.dreamstechnologies.com/html/template/assets/img/home/home-06.jpg	(from https://doccure.dreamstechnologies.com/html/template/index.html)
19:20:07	57067/57067	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Jan%202026%2010:15:29%20GMT	https://doccure.dreamstechnologies.com/html/template/index-8.html	C:/My%20Web%20Sites/docRabale, Navi Mumbai/doccure.dreamstechnologies.com/html/template/index-8.html	(from https://doccure.dreamstechnologies.com/html/template/index.html)
19:20:08	21930/21930	---M--	200	added ('OK')	image/jpeg	etag:%221e9eb-647b574750c04%22	https://doccure.dreamstechnologies.com/html/template/assets/img/home/home-07.jpg	C:/My%20Web%20Sites/docRabale, Navi Mumbai/doccure.dreamstechnologies.com/html/template/assets/img/home/home-07.jpg	(from https://doccure.dreamstechnologies.com/html/template/index.html)
19:20:08	62378/62378	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Jan%202026%2010:15:29%20GMT	https://doccure.dreamstechnologies.com/html/template/index-9.html	C:/My%20Web%20Sites/docRabale, Navi Mumbai/doccure.dreamstechnologies.com/html/template/index-9.html	(from https://doccure.dreamstechnologies.com/html/template/index.html)
19:20:09	27290/27290	---M--	200	added ('OK')	image/jpeg	etag:%2223a57-647b574750fec%22	https://doccure.dreamstechnologies.com/html/template/assets/img/home/home-08.jpg	C:/My%20Web%20Sites/docRabale, Navi Mumbai/doccure.dreamstechnologies.com/html/template/assets/img/home/home-08.jpg	(from https://doccure.dreamstechnologies.com/html/template/index.html)
19:20:09	57727/57727	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Jan%202026%2010:15:29%20GMT	https://doccure.dreamstechnologies.com/html/template/index-10.html	C:/My%20Web%20Sites/docRabale, Navi Mumbai/doccure.dreamstechnologies.com/html/template/index-10.html	(from https://doccure.dreamstechnologies.com/html/template/index.html)
19:20:09	19423/19423	---M--	200	added ('OK')	image/jpeg	etag:%221c7de-647b5747513d5%22	https://doccure.dreamstechnologies.com/html/template/assets/img/home/home-09.jpg	C:/My%20Web%20Sites/docRabale, Navi Mumbai/doccure.dreamstechnologies.com/html/template/assets/img/home/home-09.jpg	(from https://doccure.dreamstechnologies.com/html/template/index.html)
19:20:10	66861/66861	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Jan%202026%2010:15:29%20GMT	https://doccure.dreamstechnologies.com/html/template/index-11.html	C:/My%20Web%20Sites/docRabale, Navi Mumbai/doccure.dreamstechnologies.com/html/template/index-11.html	(from https://doccure.dreamstechnologies.com/html/template/index.html)
19:20:10	26126/26126	---M--	200	added ('OK')	image/jpeg	etag:%2221716-647b5747517bd%22	https://doccure.dreamstechnologies.com/html/template/assets/img/home/home-10.jpg	C:/My%20Web%20Sites/docRabale, Navi Mumbai/doccure.dreamstechnologies.com/html/template/assets/img/home/home-10.jpg	(from https://doccure.dreamstechnologies.com/html/template/index.html)
19:20:10	69966/69966	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Jan%202026%2010:15:29%20GMT	https://doccure.dreamstechnologies.com/html/template/index-12.html	C:/My%20Web%20Sites/docRabale, Navi Mumbai/doccure.dreamstechnologies.com/html/template/index-12.html	(from https://doccure.dreamstechnologies.com/html/template/index.html)
19:20:11	27568/27568	---M--	200	added ('OK')	image/jpeg	etag:%2225dbf-647b574751ba5%22	https://doccure.dreamstechnologies.com/html/template/assets/img/home/home-11.jpg	C:/My%20Web%20Sites/docRabale, Navi Mumbai/doccure.dreamstechnologies.com/html/template/assets/img/home/home-11.jpg	(from https://doccure.dreamstechnologies.com/html/template/index.html)
